seed,gate_mode,optimizer,step,S,lag,prefix,mean_probability,min_probability,mean_attention,min_attention,certified_probability_lower_bound,example_count,train_R
0,learned,sgd,0,0.0,1,0,0.5,0.5,1.0,1.0,,112,2
0,learned,sgd,0,0.0,1,16,0.5,0.5,0.6321205849979562,0.6321205849979562,,112,2
0,learned,sgd,0,0.0,1,64,0.5,0.5,0.6321205588285578,0.6321205588285577,,112,2
0,learned,sgd,0,0.0,2,0,0.5,0.5,0.2689414213690497,0.2689414213610862,,112,2
0,learned,sgd,0,0.0,2,16,0.5,0.5,0.2325441614757657,0.23254416146981183,,112,2
0,learned,sgd,0,0.0,2,64,0.5,0.5,0.23254415793412278,0.23254415792816893,,112,2
0,learned,sgd,0,0.0,3,0,0.5,0.5,0.09003057316998572,0.09003057316666072,,112,2
0,learned,sgd,0,0.0,3,16,0.5,0.5,0.08554821534770156,0.08554821534469942,,112,2
0,learned,sgd,0,0.0,3,64,0.5,0.5,0.08554821486839234,0.08554821486539019,,112,2
0,learned,sgd,0,0.0,4,0,0.5,0.5,0.03205860327993539,0.032058603278675366,,112,2
0,learned,sgd,0,0.0,4,16,0.5,0.5,0.03147142954385305,0.03147142954263874,,112,2
0,learned,sgd,0,0.0,4,64,0.5,0.5,0.0314714294789856,0.0314714294777713,,112,2
0,learned,sgd,0,0.0,5,0,0.5,0.5,0.011656230955984061,0.0116562309555162,,112,2
0,learned,sgd,0,0.0,5,16,0.5,0.5,0.01157769189837277,0.011577691897911182,,112,2
0,learned,sgd,0,0.0,5,64,0.5,0.5,0.011577691889593913,0.011577691889132331,,112,2
0,learned,sgd,0,0.0,6,0,0.5,0.5,0.004269778545261609,0.004269778545088934,,112,2
0,learned,sgd,0,0.0,6,16,0.5,0.5,0.004259194823586798,0.0042591948234149786,,112,2
0,learned,sgd,0,0.0,6,64,0.5,0.5,0.004259194822398709,0.004259194822226892,,112,2
0,learned,sgd,0,0.0,7,0,0.5,0.5,0.0015683003158789223,0.0015683003158153256,,112,2
0,learned,sgd,0,0.0,7,16,0.5,0.5,0.001566870211265096,0.0015668702112016156,,112,2
0,learned,sgd,0,0.0,7,64,0.5,0.5,0.001566870211104306,0.001566870211040825,,112,2
0,learned,sgd,0,0.0,8,0,0.5,0.5,0.0005766127696842267,0.0005766127696608212,,112,2
0,learned,sgd,0,0.0,8,16,0.5,0.5,0.0005764193376709881,0.0005764193376475979,,112,2
0,learned,sgd,0,0.0,8,64,0.5,0.5,0.0005764193376492274,0.0005764193376258372,,112,2
0,learned,sgd,0,0.0,9,0,0.5,0.5,0.00021207899644221169,0.00021207899643359976,,112,2
0,learned,sgd,0,0.0,9,16,0.5,0.5,0.00021205282381775504,0.0002120528238091451,,112,2
0,learned,sgd,0,0.0,9,64,0.5,0.5,0.0002120528238148101,0.00021205282380620046,,112,2
0,learned,sgd,0,0.0,10,0,0.5,0.5,7.80134161274313e-05,7.801341612426298e-05,,112,2
0,learned,sgd,0,0.0,10,16,0.5,0.5,7.800987432421721e-05,7.800987432104913e-05,,112,2
0,learned,sgd,0,0.0,10,64,0.5,0.5,7.800987432381864e-05,7.800987432065062e-05,,112,2
0,learned,sgd,0,0.0,11,0,0.5,0.5,2.8698708289339755e-05,2.8698708288174173e-05,,112,2
0,learned,sgd,0,0.0,11,16,0.5,0.5,2.869822897215476e-05,2.8698228970989198e-05,,112,2
0,learned,sgd,0,0.0,11,64,0.5,0.5,2.8698228972100827e-05,2.869822897093526e-05,,112,2
0,learned,sgd,0,0.0,12,0,0.5,0.5,1.0557553304715978e-05,1.0557553304287181e-05,,112,2
0,learned,sgd,0,0.0,12,16,0.5,0.5,1.0557488436873857e-05,1.055748843644506e-05,,112,2
0,learned,sgd,0,0.0,12,64,0.5,0.5,1.0557488436866557e-05,1.0557488436437765e-05,,112,2
0,learned,sgd,0,0.0,13,0,0.5,0.5,3.883891725203109e-06,3.8838917250453626e-06,,112,2
0,learned,sgd,0,0.0,13,16,0.5,0.5,3.883882946329418e-06,3.883882946171673e-06,,112,2
0,learned,sgd,0,0.0,13,64,0.5,0.5,3.883882946328426e-06,3.88388294617068e-06,,112,2
0,learned,sgd,0,0.0,14,0,0.5,0.5,1.4288018759603902e-06,1.4288018759023587e-06,,112,2
0,learned,sgd,0,0.0,14,16,0.5,0.5,1.4288006878707313e-06,1.4288006878127e-06,,112,2
0,learned,sgd,0,0.0,14,64,0.5,0.5,1.4288006878705968e-06,1.4288006878125653e-06,,112,2
0,learned,sgd,0,0.0,15,0,0.5,0.5,5.256265593895918e-07,5.256265593682431e-07,,112,2
0,learned,sgd,0,0.0,15,16,0.5,0.5,5.256263985992252e-07,5.256263985778766e-07,,112,2
0,learned,sgd,0,0.0,15,64,0.5,0.5,5.256263985992075e-07,5.256263985778588e-07,,112,2
0,learned,sgd,0,0.0,16,0,0.5,0.5,1.9336716754224223e-07,1.9336716753438852e-07,,112,2
0,learned,sgd,0,0.0,16,16,0.5,0.5,1.9336714578163672e-07,1.93367145773783e-07,,112,2
0,learned,sgd,0,0.0,16,64,0.5,0.5,1.9336714578163428e-07,1.933671457737806e-07,,112,2
0,learned,sgd,0,0.0,17,0,0.5,0.5,7.113580047604236e-08,7.113580047315297e-08,,112,2
0,learned,sgd,0,0.0,17,16,0.5,0.5,7.113579753106472e-08,7.113579752817534e-08,,112,2
0,learned,sgd,0,0.0,17,64,0.5,0.5,7.113579753106447e-08,7.113579752817508e-08,,112,2
0,learned,sgd,0,0.0,18,0,0.5,0.5,2.6169397841572313e-08,2.616939784050938e-08,,112,2
0,learned,sgd,0,0.0,18,16,0.5,0.5,2.616939744301294e-08,2.6169397441950013e-08,,112,2
0,learned,sgd,0,0.0,18,64,0.5,0.5,2.616939744301285e-08,2.616939744194992e-08,,112,2
0,learned,sgd,0,0.0,19,0,0.5,0.5,9.627183361068068e-09,9.627183360677038e-09,,112,2
0,learned,sgd,0,0.0,19,16,0.5,0.5,9.627183307128918e-09,9.62718330673789e-09,,112,2
0,learned,sgd,0,0.0,19,64,0.5,0.5,9.627183307128918e-09,9.62718330673789e-09,,112,2
0,learned,sgd,0,0.0,20,0,0.5,0.5,3.54164282238151e-09,3.5416428222376583e-09,,112,2
0,learned,sgd,0,0.0,20,16,0.5,0.5,3.541642815081642e-09,3.5416428149377907e-09,,112,2
0,learned,sgd,0,0.0,20,64,0.5,0.5,3.541642815081642e-09,3.5416428149377907e-09,,112,2
0,learned,sgd,0,0.0,21,0,0.5,0.5,1.3028975806290122e-09,1.302897580576092e-09,,112,2
0,learned,sgd,0,0.0,21,16,0.5,0.5,1.3028975796410827e-09,1.3028975795881626e-09,,112,2
0,learned,sgd,0,0.0,21,64,0.5,0.5,1.3028975796410827e-09,1.3028975795881626e-09,,112,2
0,learned,sgd,0,0.0,22,0,0.5,0.5,4.793092336356896e-10,4.793092336162214e-10,,112,2
0,learned,sgd,0,0.0,22,16,0.5,0.5,4.793092335019871e-10,4.793092334825188e-10,,112,2
0,learned,sgd,0,0.0,22,64,0.5,0.5,4.793092335019871e-10,4.793092334825188e-10,,112,2
0,learned,sgd,0,0.0,23,0,0.5,0.5,1.7632801298711732e-10,1.7632801297995536e-10,,112,2
0,learned,sgd,0,0.0,23,16,0.5,0.5,1.7632801296902313e-10,1.7632801296186117e-10,,112,2
0,learned,sgd,0,0.0,23,64,0.5,0.5,1.7632801296902313e-10,1.7632801296186117e-10,,112,2
0,learned,sgd,0,0.0,24,0,0.5,0.5,6.486745087636398e-11,6.486745087372924e-11,,112,2
0,learned,sgd,0,0.0,24,16,0.5,0.5,6.486745087391515e-11,6.486745087128042e-11,,112,2
